timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1692855510521,461,HTTP Request-1,200,OK,Thread Group 1-31,text,true,,3293,119,64,64,https://www.saucedemo.com/,461,0,317
1692855510329,704,HTTP Request,200,OK,Thread Group 1-28,text,true,,3947,238,69,69,https://www.saucedemo.com/,210,0,107
1692855510329,210,HTTP Request-0,301,Moved Permanently,Thread Group 1-28,text,true,,654,119,69,69,http://www.saucedemo.com/,210,0,107
1692855510539,494,HTTP Request-1,200,OK,Thread Group 1-28,text,true,,3293,119,69,69,https://www.saucedemo.com/,493,0,324
1692855510375,677,HTTP Request,200,OK,Thread Group 1-33,text,true,,3947,238,68,68,https://www.saucedemo.com/,175,0,86
1692855510375,175,HTTP Request-0,301,Moved Permanently,Thread Group 1-33,text,true,,654,119,68,68,http://www.saucedemo.com/,175,0,86
1692855510551,501,HTTP Request-1,200,OK,Thread Group 1-33,text,true,,3293,119,68,68,https://www.saucedemo.com/,500,0,329
1692855510512,597,HTTP Request,200,OK,Thread Group 1-43,text,true,,3947,238,72,72,https://www.saucedemo.com/,169,0,96
1692855510512,169,HTTP Request-0,301,Moved Permanently,Thread Group 1-43,text,true,,654,119,72,72,http://www.saucedemo.com/,169,0,96
1692855510682,427,HTTP Request-1,200,OK,Thread Group 1-43,text,true,,3293,119,72,72,https://www.saucedemo.com/,427,0,281
1692855510509,632,HTTP Request,200,OK,Thread Group 1-42,text,true,,3947,238,73,73,https://www.saucedemo.com/,208,0,108
1692855510509,208,HTTP Request-0,301,Moved Permanently,Thread Group 1-42,text,true,,654,119,73,73,http://www.saucedemo.com/,208,0,108
1692855510718,423,HTTP Request-1,200,OK,Thread Group 1-42,text,true,,3293,119,73,73,https://www.saucedemo.com/,423,0,292
1692855510461,682,HTTP Request,200,OK,Thread Group 1-36,text,true,,3947,238,72,72,https://www.saucedemo.com/,211,0,106
